<6>[12454.979156] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12505.041351] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12555.107879] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12605.179656] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12655.252716] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12705.316009] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12761.368591] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12811.461090] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12864.072662] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12914.261260] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[12964.338439] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13014.578704] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13064.688110] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13114.763549] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13164.832427] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13214.891204] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13265.057037] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13315.127227] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13365.188934] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13415.257263] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13465.317810] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13515.378479] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13572.421142] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13622.516906] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13672.583038] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13722.645477] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13772.722808] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13824.072082] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13874.200286] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13924.279693] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[13974.350036] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[14024.428985] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[14074.527587] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[14124.587707] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1358 mAh
<6>[14174.652587] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14224.782867] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14274.849151] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14324.945465] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14375.017730] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14425.187591] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14475.243774] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14525.393371] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14525.393707] batt: charging POKE CHARGER
<6>[14575.472320] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14625.529022] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14675.634613] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14725.706909] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14775.772003] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14825.830535] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14875.894744] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14925.967651] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[14976.035949] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15026.123107] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15076.187072] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15126.254638] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15176.311828] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15226.375610] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15276.448547] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15326.503112] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15376.569885] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15426.636871] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
<6>[15476.702606] batt: 100%, 4153 mV, 0 mA (0 avg), 32.6 C, 1356 mAh
